SUBSCRIPTION_ID,ACCOUNT_ID,PLAN_NAME,PLAN_INTERVAL,PLAN_PRICE,START_DATE,END_DATE,CANCELLED_AT
SUB-000052,ACC-00036,enterprise,annual,11988,2023-01-29,2024-05-27,
SUB-000053,ACC-00036,starter,monthly,299,2024-05-27,2024-08-15,
SUB-000054,ACC-00036,pro,annual,5988,2024-08-15,2024-09-11,2024-09-09 00:00:00.000 -0700
SUB-000055,ACC-00037,enterprise,annual,11988,2023-10-18,2025-09-13,
SUB-000056,ACC-00037,starter,annual,3588,2025-09-13,2026-12-07,
SUB-000057,ACC-00038,starter,annual,3588,2023-03-31,,
SUB-000058,ACC-00039,enterprise,annual,11988,2022-11-06,2022-11-30,2022-11-28 00:00:00.000 -0800
SUB-000059,ACC-00040,pro,annual,5988,2023-04-09,,
SUB-000060,ACC-00041,starter,annual,3588,2022-01-31,2023-07-16,
SUB-000061,ACC-00041,enterprise,annual,11988,2023-07-16,2023-08-10,2023-08-08 00:00:00.000 -0700
SUB-000062,ACC-00042,starter,annual,3588,2023-09-29,2023-10-23,2023-10-21 00:00:00.000 -0700
SUB-000063,ACC-00043,enterprise,annual,11988,2023-01-18,2024-09-02,
SUB-000064,ACC-00043,starter,monthly,299,2024-09-02,2024-12-13,
SUB-000065,ACC-00043,pro,annual,5988,2024-12-13,,
SUB-000066,ACC-00044,starter,annual,3588,2022-10-04,2024-02-16,
SUB-000067,ACC-00044,enterprise,annual,11988,2024-02-16,,
SUB-000068,ACC-00045,pro,annual,5988,2023-07-27,2023-08-13,2023-08-11 00:00:00.000 -0700
SUB-000069,ACC-00046,enterprise,monthly,999,2022-05-10,2022-08-09,
SUB-000070,ACC-00046,pro,annual,5988,2022-08-09,,
SUB-000071,ACC-00047,enterprise,annual,11988,2022-10-26,2024-06-17,
SUB-000072,ACC-00047,starter,annual,3588,2024-06-17,2024-07-10,2024-07-08 00:00:00.000 -0700
SUB-000073,ACC-00048,pro,annual,5988,2022-05-24,,
SUB-000074,ACC-00049,enterprise,annual,11988,2022-01-09,2023-11-28,
SUB-000075,ACC-00049,pro,monthly,499,2023-11-28,,
SUB-000076,ACC-00050,pro,monthly,499,2023-03-30,2023-05-04,
SUB-000077,ACC-00050,starter,annual,3588,2023-05-04,2025-03-09,
SUB-000078,ACC-00050,enterprise,monthly,999,2025-03-09,,
SUB-000079,ACC-00051,pro,annual,5988,2023-05-17,2025-03-19,
SUB-000080,ACC-00051,starter,monthly,299,2025-03-19,,
SUB-000081,ACC-00052,enterprise,annual,11988,2023-10-13,2025-09-20,
SUB-000082,ACC-00052,starter,annual,3588,2025-09-20,2025-10-13,2025-10-11 00:00:00.000 -0700
SUB-000083,ACC-00053,pro,annual,5988,2022-01-28,2023-04-28,
SUB-000084,ACC-00053,starter,annual,3588,2023-04-28,2024-09-20,
SUB-000085,ACC-00053,starter,monthly,299,2024-09-20,,
SUB-000086,ACC-00054,enterprise,annual,11988,2023-08-16,,
SUB-000087,ACC-00055,enterprise,annual,11988,2022-02-20,2022-03-10,2022-03-08 00:00:00.000 -0800
SUB-000088,ACC-00056,enterprise,annual,11988,2022-11-22,,
SUB-000089,ACC-00057,enterprise,monthly,999,2022-09-20,2023-03-12,
SUB-000090,ACC-00057,starter,monthly,299,2023-03-12,2023-04-05,2023-04-03 00:00:00.000 -0700
SUB-000091,ACC-00058,pro,annual,5988,2022-09-05,,
SUB-000092,ACC-00059,starter,monthly,299,2022-10-02,2022-12-05,
SUB-000093,ACC-00059,enterprise,annual,11988,2022-12-05,,
SUB-000094,ACC-00060,enterprise,annual,11988,2024-01-26,2024-02-10,2024-02-08 00:00:00.000 -0800
SUB-000095,ACC-00061,pro,annual,5988,2023-01-03,2023-01-18,2023-01-16 00:00:00.000 -0800
SUB-000096,ACC-00062,starter,annual,3588,2022-12-09,2023-01-01,2022-12-30 00:00:00.000 -0800
SUB-000097,ACC-00063,starter,monthly,299,2023-09-26,2023-11-29,
SUB-000098,ACC-00063,enterprise,annual,11988,2023-11-29,,
SUB-000099,ACC-00065,enterprise,monthly,999,2023-02-05,2023-04-25,
SUB-000100,ACC-00065,starter,monthly,299,2023-04-25,,
SUB-000101,ACC-00067,starter,annual,3588,2022-05-03,2023-06-17,
SUB-000102,ACC-00067,pro,annual,5988,2023-06-17,,
SUB-000103,ACC-00068,enterprise,annual,11988,2023-01-27,,
SUB-000104,ACC-00069,pro,monthly,499,2023-07-19,2023-08-06,2023-08-04 00:00:00.000 -0700
SUB-000105,ACC-00070,pro,monthly,499,2023-11-20,2023-12-12,2023-12-10 00:00:00.000 -0800
SUB-000106,ACC-00071,enterprise,annual,11988,2023-12-18,2025-05-23,
SUB-000107,ACC-00071,starter,annual,3588,2025-05-23,2026-09-02,
SUB-000108,ACC-00072,pro,annual,5988,2022-02-08,2023-09-02,
SUB-000109,ACC-00072,starter,annual,3588,2023-09-02,2023-09-26,2023-09-24 00:00:00.000 -0700
SUB-000110,ACC-00073,starter,monthly,299,2023-11-29,2024-01-20,
SUB-000111,ACC-00073,enterprise,annual,11988,2024-01-20,,
SUB-000112,ACC-00074,starter,monthly,299,2022-07-27,2022-09-27,
SUB-000113,ACC-00074,pro,annual,5988,2022-09-27,,
SUB-000114,ACC-00075,pro,annual,5988,2022-12-11,2022-12-26,2022-12-24 00:00:00.000 -0800
SUB-000115,ACC-00076,starter,monthly,299,2024-01-08,,
SUB-000116,ACC-00077,enterprise,monthly,999,2023-05-21,2023-07-18,
SUB-000117,ACC-00077,starter,annual,3588,2023-07-18,2023-08-14,2023-08-12 00:00:00.000 -0700
SUB-000118,ACC-00078,starter,monthly,299,2022-10-19,2023-04-06,
SUB-000119,ACC-00078,enterprise,annual,11988,2023-04-06,2024-05-13,
SUB-000120,ACC-00078,pro,annual,5988,2024-05-13,,
SUB-000121,ACC-00079,starter,annual,3588,2024-01-12,2024-01-30,2024-01-28 00:00:00.000 -0800
SUB-000122,ACC-00080,pro,monthly,499,2023-11-08,2024-04-03,
SUB-000123,ACC-00080,starter,annual,3588,2024-04-03,2024-04-26,2024-04-24 00:00:00.000 -0700
SUB-000124,ACC-00082,enterprise,annual,11988,2022-03-17,,
SUB-000125,ACC-00083,enterprise,annual,11988,2023-10-15,,
SUB-000126,ACC-00084,starter,annual,3588,2022-08-06,,
SUB-000127,ACC-00085,enterprise,annual,11988,2022-03-19,2023-04-12,
SUB-000128,ACC-00085,starter,annual,3588,2023-04-12,2025-02-18,
SUB-000129,ACC-00085,pro,annual,5988,2025-02-18,,
SUB-000130,ACC-00086,pro,annual,5988,2022-04-26,,
SUB-000131,ACC-00087,pro,annual,5988,2024-01-09,2024-01-27,2024-01-25 00:00:00.000 -0800
SUB-000132,ACC-00088,pro,monthly,499,2023-02-09,2023-03-02,2023-02-28 00:00:00.000 -0800
SUB-000133,ACC-00089,enterprise,annual,11988,2023-04-28,2024-07-14,
SUB-000134,ACC-00089,starter,annual,3588,2024-07-14,2024-07-31,2024-07-29 00:00:00.000 -0700
SUB-000135,ACC-00090,enterprise,monthly,999,2022-11-17,2022-12-12,2022-12-10 00:00:00.000 -0800
SUB-000136,ACC-00091,enterprise,annual,11988,2023-07-22,2023-08-15,2023-08-13 00:00:00.000 -0700
SUB-000137,ACC-00092,enterprise,annual,11988,2022-09-11,2022-10-07,2022-10-05 00:00:00.000 -0700
SUB-000138,ACC-00094,starter,annual,3588,2023-11-06,2023-11-27,2023-11-25 00:00:00.000 -0800
SUB-000139,ACC-00095,starter,monthly,299,2022-02-21,2022-04-17,
SUB-000140,ACC-00095,pro,monthly,499,2022-04-17,2022-09-10,
SUB-000141,ACC-00095,starter,annual,3588,2022-09-10,,
SUB-000142,ACC-00096,starter,monthly,299,2023-01-11,2023-02-01,2023-01-30 00:00:00.000 -0800
SUB-000143,ACC-00097,pro,monthly,499,2023-12-10,2024-05-09,
SUB-000144,ACC-00097,starter,monthly,299,2024-05-09,2024-10-12,
SUB-000145,ACC-00097,starter,annual,3588,2024-10-12,,
SUB-000146,ACC-00099,pro,annual,5988,2022-05-26,2024-03-06,
SUB-000147,ACC-00099,enterprise,annual,11988,2024-03-06,,
SUB-000148,ACC-00100,enterprise,annual,11988,2023-02-04,2025-01-16,
SUB-000149,ACC-00100,starter,annual,3588,2025-01-16,,
SUB-000150,ACC-00101,enterprise,annual,11988,2023-09-07,2024-10-03,
SUB-000151,ACC-00101,starter,annual,3588,2024-10-03,2024-10-28,2024-10-26 00:00:00.000 -0700
SUB-000152,ACC-00102,enterprise,annual,11988,2022-01-14,2023-03-04,
SUB-000153,ACC-00102,pro,annual,5988,2023-03-04,2023-03-26,2023-03-24 00:00:00.000 -0700
SUB-000154,ACC-00103,starter,annual,3588,2023-07-05,2025-03-25,
SUB-000155,ACC-00103,pro,annual,5988,2025-03-25,,
SUB-000156,ACC-00104,enterprise,annual,11988,2023-02-04,2024-08-01,
SUB-000157,ACC-00104,starter,annual,3588,2024-08-01,2024-08-20,2024-08-18 00:00:00.000 -0700
SUB-000158,ACC-00105,pro,annual,5988,2023-03-04,2023-04-01,2023-03-30 00:00:00.000 -0700
SUB-000159,ACC-00106,enterprise,annual,11988,2023-01-03,2024-07-23,
SUB-000160,ACC-00106,starter,annual,3588,2024-07-23,2025-10-30,
SUB-000161,ACC-00106,starter,annual,3588,2025-10-30,,
SUB-000162,ACC-00107,enterprise,annual,11988,2023-10-28,2025-10-18,
SUB-000163,ACC-00107,pro,annual,5988,2025-10-18,2027-03-21,
SUB-000164,ACC-00108,enterprise,monthly,999,2024-01-11,,
SUB-000165,ACC-00109,pro,annual,5988,2023-10-04,2024-10-09,
SUB-000166,ACC-00109,enterprise,monthly,999,2024-10-09,2024-11-01,2024-10-30 00:00:00.000 -0700
SUB-000167,ACC-00110,starter,annual,3588,2023-04-17,2024-12-15,
SUB-000168,ACC-00110,enterprise,monthly,999,2024-12-15,2025-05-30,
SUB-000169,ACC-00110,pro,monthly,499,2025-05-30,,
SUB-000170,ACC-00111,pro,annual,5988,2022-02-07,2023-06-20,
SUB-000171,ACC-00111,starter,annual,3588,2023-06-20,2023-07-10,2023-07-08 00:00:00.000 -0700
SUB-000172,ACC-00113,enterprise,annual,11988,2024-01-21,2025-06-20,
SUB-000173,ACC-00113,starter,monthly,299,2025-06-20,,
SUB-000174,ACC-00114,pro,annual,5988,2022-05-02,2023-08-05,
SUB-000175,ACC-00114,enterprise,annual,11988,2023-08-05,2023-08-21,2023-08-19 00:00:00.000 -0700
SUB-000176,ACC-00115,enterprise,annual,11988,2022-08-24,2023-12-17,
SUB-000177,ACC-00115,pro,monthly,499,2023-12-17,2024-06-14,
SUB-000178,ACC-00115,starter,annual,3588,2024-06-14,2024-07-12,2024-07-10 00:00:00.000 -0700
SUB-000179,ACC-00116,enterprise,annual,11988,2022-02-02,2022-02-18,2022-02-16 00:00:00.000 -0800
SUB-000180,ACC-00117,enterprise,annual,11988,2023-08-18,2024-09-24,
SUB-000181,ACC-00117,starter,monthly,299,2024-09-24,,
SUB-000182,ACC-00118,enterprise,annual,11988,2023-08-23,,
SUB-000183,ACC-00119,enterprise,annual,11988,2022-09-22,2022-10-19,2022-10-17 00:00:00.000 -0700
SUB-000184,ACC-00120,starter,annual,3588,2023-05-02,2023-05-17,2023-05-15 00:00:00.000 -0700
SUB-000185,ACC-00121,starter,annual,3588,2022-05-29,2022-06-15,2022-06-13 00:00:00.000 -0700
SUB-000186,ACC-00123,starter,annual,3588,2022-09-22,2022-10-17,2022-10-15 00:00:00.000 -0700
SUB-000187,ACC-00124,enterprise,annual,11988,2022-04-04,2024-01-17,
SUB-000188,ACC-00124,pro,annual,5988,2024-01-17,,
SUB-000189,ACC-00125,enterprise,monthly,999,2022-12-10,2023-04-29,
SUB-000190,ACC-00125,starter,annual,3588,2023-04-29,2023-05-15,2023-05-13 00:00:00.000 -0700
SUB-000191,ACC-00126,starter,annual,3588,2023-11-20,2023-12-06,2023-12-04 00:00:00.000 -0800
SUB-000192,ACC-00127,enterprise,annual,11988,2022-08-20,2024-04-02,
SUB-000193,ACC-00127,pro,monthly,499,2024-04-02,2024-08-05,
SUB-000194,ACC-00127,starter,monthly,299,2024-08-05,2024-08-27,2024-08-25 00:00:00.000 -0700
SUB-000195,ACC-00128,enterprise,monthly,999,2023-03-11,2023-07-25,
SUB-000196,ACC-00128,starter,monthly,299,2023-07-25,2023-08-22,2023-08-20 00:00:00.000 -0700
SUB-000197,ACC-00129,enterprise,monthly,999,2022-07-04,,
SUB-000198,ACC-00131,starter,annual,3588,2023-12-17,2024-01-04,2024-01-02 00:00:00.000 -0800
SUB-000199,ACC-00132,enterprise,annual,11988,2022-10-13,2022-10-30,2022-10-28 00:00:00.000 -0700
SUB-000200,ACC-00133,enterprise,annual,11988,2023-10-02,2023-10-20,2023-10-18 00:00:00.000 -0700
SUB-000201,ACC-00134,pro,annual,5988,2023-02-10,2024-03-19,
SUB-000202,ACC-00134,starter,annual,3588,2024-03-19,2025-05-09,
SUB-000203,ACC-00134,enterprise,annual,11988,2025-05-09,,
SUB-000204,ACC-00135,pro,monthly,499,2023-07-18,2023-09-28,
SUB-000205,ACC-00135,enterprise,monthly,999,2023-09-28,2023-12-30,
SUB-000206,ACC-00135,pro,monthly,499,2023-12-30,2024-01-22,2024-01-20 00:00:00.000 -0800
SUB-000207,ACC-00136,pro,annual,5988,2022-09-27,2022-10-23,2022-10-21 00:00:00.000 -0700
SUB-000208,ACC-00137,enterprise,monthly,999,2023-11-16,2024-01-02,
SUB-000209,ACC-00137,pro,monthly,499,2024-01-02,,
SUB-000210,ACC-00138,enterprise,annual,11988,2022-03-01,,
SUB-000211,ACC-00139,starter,monthly,299,2022-12-23,2023-05-15,
SUB-000212,ACC-00139,enterprise,monthly,999,2023-05-15,2023-06-06,2023-06-04 00:00:00.000 -0700
SUB-000213,ACC-00140,enterprise,annual,11988,2023-11-21,2023-12-12,2023-12-10 00:00:00.000 -0800
SUB-000214,ACC-00142,pro,annual,5988,2023-08-23,2023-09-18,2023-09-16 00:00:00.000 -0700
SUB-000215,ACC-00143,pro,annual,5988,2022-02-08,,
SUB-000216,ACC-00144,enterprise,annual,11988,2023-07-23,2025-03-27,
SUB-000217,ACC-00144,pro,monthly,499,2025-03-27,,
SUB-000218,ACC-00145,pro,annual,5988,2022-05-30,2023-08-14,
SUB-000219,ACC-00145,starter,annual,3588,2023-08-14,2024-12-13,
SUB-000220,ACC-00145,enterprise,annual,11988,2024-12-13,,
SUB-000221,ACC-00146,pro,annual,5988,2023-03-30,2023-04-21,2023-04-19 00:00:00.000 -0700
SUB-000222,ACC-00147,enterprise,annual,11988,2023-07-08,,
SUB-000223,ACC-00149,pro,monthly,499,2023-09-24,2023-12-10,
SUB-000224,ACC-00149,enterprise,monthly,999,2023-12-10,,
SUB-000225,ACC-00150,pro,annual,5988,2022-04-02,2023-10-28,
SUB-000226,ACC-00150,enterprise,annual,11988,2023-10-28,2023-11-17,2023-11-15 00:00:00.000 -0800
SUB-000227,ACC-00151,enterprise,annual,11988,2022-01-30,2024-01-15,
SUB-000228,ACC-00151,starter,annual,3588,2024-01-15,2025-11-11,
SUB-000229,ACC-00151,pro,annual,5988,2025-11-11,,
SUB-000230,ACC-00152,enterprise,annual,11988,2023-06-22,,
SUB-000231,ACC-00153,enterprise,annual,11988,2022-05-14,,
SUB-000232,ACC-00155,pro,annual,5988,2023-01-09,2024-03-15,
SUB-000233,ACC-00155,enterprise,annual,11988,2024-03-15,2024-04-01,2024-03-30 00:00:00.000 -0700
SUB-000234,ACC-00156,enterprise,annual,11988,2022-05-31,2023-08-22,
SUB-000235,ACC-00156,starter,annual,3588,2023-08-22,2023-09-08,2023-09-06 00:00:00.000 -0700
SUB-000236,ACC-00158,enterprise,monthly,999,2023-01-27,,
SUB-000237,ACC-00159,enterprise,monthly,999,2023-08-28,,
SUB-000238,ACC-00160,enterprise,monthly,999,2023-05-10,,
SUB-000239,ACC-00161,enterprise,annual,11988,2023-08-21,2023-09-10,2023-09-08 00:00:00.000 -0700
SUB-000240,ACC-00162,enterprise,annual,11988,2022-04-21,2024-02-07,
SUB-000241,ACC-00162,pro,monthly,499,2024-02-07,2024-04-15,
SUB-000242,ACC-00162,starter,annual,3588,2024-04-15,,
SUB-000243,ACC-00163,enterprise,annual,11988,2022-04-09,2022-05-03,2022-05-01 00:00:00.000 -0700
SUB-000244,ACC-00164,enterprise,monthly,999,2023-08-06,,
SUB-000245,ACC-00165,enterprise,annual,11988,2023-10-05,,
SUB-000246,ACC-00166,enterprise,monthly,999,2023-02-12,2023-07-16,
SUB-000247,ACC-00166,pro,monthly,499,2023-07-16,,
SUB-000248,ACC-00167,enterprise,annual,11988,2022-08-14,,
SUB-000249,ACC-00168,pro,annual,5988,2022-09-26,2024-08-16,
SUB-000250,ACC-00168,enterprise,annual,11988,2024-08-16,,
SUB-000251,ACC-00169,starter,annual,3588,2022-07-25,2022-08-12,2022-08-10 00:00:00.000 -0700
SUB-000252,ACC-00170,pro,annual,5988,2023-10-26,2025-07-12,
SUB-000253,ACC-00170,enterprise,annual,11988,2025-07-12,2025-07-28,2025-07-26 00:00:00.000 -0700
SUB-000254,ACC-00171,enterprise,annual,11988,2022-12-05,2024-05-26,
SUB-000255,ACC-00171,pro,monthly,499,2024-05-26,,
SUB-000256,ACC-00172,enterprise,annual,11988,2023-03-01,2023-03-20,2023-03-18 00:00:00.000 -0700
SUB-000257,ACC-00173,enterprise,monthly,999,2022-04-12,,
SUB-000258,ACC-00174,enterprise,annual,11988,2023-07-03,,
SUB-000259,ACC-00175,pro,monthly,499,2023-07-30,2023-10-23,
SUB-000260,ACC-00175,enterprise,annual,11988,2023-10-23,,
SUB-000261,ACC-00176,pro,annual,5988,2023-09-24,2025-05-04,
SUB-000262,ACC-00176,enterprise,annual,11988,2025-05-04,2026-09-10,
SUB-000263,ACC-00177,starter,annual,3588,2022-05-27,,
SUB-000264,ACC-00178,enterprise,monthly,999,2022-01-06,,
SUB-000265,ACC-00179,pro,annual,5988,2023-01-03,2024-08-27,
SUB-000266,ACC-00179,starter,annual,3588,2024-08-27,2024-09-20,2024-09-18 00:00:00.000 -0700
SUB-000267,ACC-00180,enterprise,annual,11988,2022-07-26,,
SUB-000268,ACC-00181,starter,annual,3588,2022-10-09,2022-11-02,2022-10-31 00:00:00.000 -0700
SUB-000269,ACC-00182,enterprise,annual,11988,2022-04-09,2023-11-07,
SUB-000270,ACC-00182,pro,annual,5988,2023-11-07,,
SUB-000271,ACC-00184,pro,annual,5988,2023-06-23,2025-02-12,
SUB-000272,ACC-00184,enterprise,monthly,999,2025-02-12,2025-06-27,
SUB-000273,ACC-00184,starter,monthly,299,2025-06-27,,
SUB-000274,ACC-00185,pro,annual,5988,2023-03-27,2023-04-22,2023-04-20 00:00:00.000 -0700
SUB-000275,ACC-00186,starter,monthly,299,2023-02-27,2023-07-16,
SUB-000276,ACC-00186,enterprise,annual,11988,2023-07-16,,
SUB-000277,ACC-00187,enterprise,annual,11988,2022-08-06,2024-02-26,
SUB-000278,ACC-00187,starter,annual,3588,2024-02-26,2026-01-27,
SUB-000279,ACC-00187,pro,annual,5988,2026-01-27,2026-02-24,2026-02-22 00:00:00.000 -0800
SUB-000280,ACC-00188,enterprise,annual,11988,2023-11-16,,
SUB-000281,ACC-00189,starter,annual,3588,2023-06-02,2023-06-19,2023-06-17 00:00:00.000 -0700
SUB-000282,ACC-00190,pro,annual,5988,2023-09-11,2025-07-15,
SUB-000283,ACC-00190,starter,annual,3588,2025-07-15,2025-08-01,2025-07-30 00:00:00.000 -0700
SUB-000284,ACC-00191,pro,annual,5988,2023-10-21,2025-06-26,
SUB-000285,ACC-00191,starter,annual,3588,2025-06-26,2027-05-14,
SUB-000286,ACC-00192,pro,monthly,499,2022-10-13,2022-12-04,
SUB-000287,ACC-00192,enterprise,annual,11988,2022-12-04,2023-12-21,
SUB-000288,ACC-00192,pro,annual,5988,2023-12-21,,
SUB-000289,ACC-00194,enterprise,annual,11988,2023-06-30,2023-07-27,2023-07-25 00:00:00.000 -0700
SUB-000290,ACC-00196,starter,monthly,299,2022-06-23,2022-09-03,
SUB-000291,ACC-00196,pro,annual,5988,2022-09-03,2022-09-30,2022-09-28 00:00:00.000 -0700
SUB-000292,ACC-00197,enterprise,annual,11988,2022-01-20,2022-02-13,2022-02-11 00:00:00.000 -0800
SUB-000293,ACC-00198,enterprise,monthly,999,2023-02-24,2023-03-19,2023-03-17 00:00:00.000 -0700
SUB-000294,ACC-00199,enterprise,monthly,999,2023-02-06,2023-02-21,2023-02-19 00:00:00.000 -0800
SUB-000295,ACC-00200,enterprise,monthly,999,2022-11-21,,
SUB-000296,ACC-00201,enterprise,annual,11988,2023-09-15,,
SUB-000297,ACC-00202,starter,annual,3588,2023-12-06,,
SUB-000298,ACC-00203,starter,annual,3588,2023-11-14,2024-11-28,
SUB-000299,ACC-00203,enterprise,annual,11988,2024-11-28,,
SUB-000300,ACC-00204,enterprise,annual,11988,2023-02-08,,
SUB-000301,ACC-00205,starter,monthly,299,2023-02-11,2023-02-26,2023-02-24 00:00:00.000 -0800
SUB-000302,ACC-00206,pro,annual,5988,2023-08-22,2024-11-10,
SUB-000303,ACC-00206,starter,annual,3588,2024-11-10,2024-11-25,2024-11-23 00:00:00.000 -0800
SUB-000304,ACC-00207,enterprise,annual,11988,2022-12-16,2024-07-06,
SUB-000305,ACC-00207,starter,annual,3588,2024-07-06,2024-07-24,2024-07-22 00:00:00.000 -0700
SUB-000306,ACC-00208,enterprise,monthly,999,2023-02-27,2023-03-25,2023-03-23 00:00:00.000 -0700
SUB-000307,ACC-00209,pro,annual,5988,2023-03-28,2023-04-22,2023-04-20 00:00:00.000 -0700
SUB-000308,ACC-00210,starter,annual,3588,2023-05-02,2023-05-26,2023-05-24 00:00:00.000 -0700
SUB-000309,ACC-00211,enterprise,annual,11988,2023-04-30,2023-05-24,2023-05-22 00:00:00.000 -0700
SUB-000310,ACC-00212,pro,annual,5988,2023-10-31,2025-06-19,
SUB-000311,ACC-00212,enterprise,annual,11988,2025-06-19,2025-07-13,2025-07-11 00:00:00.000 -0700
SUB-000312,ACC-00214,enterprise,monthly,999,2023-01-16,2023-02-10,2023-02-08 00:00:00.000 -0800
SUB-000313,ACC-00215,pro,annual,5988,2023-02-11,2023-03-01,2023-02-27 00:00:00.000 -0800
SUB-000314,ACC-00216,pro,annual,5988,2022-05-24,2024-03-18,
SUB-000315,ACC-00216,starter,monthly,299,2024-03-18,2024-08-30,
SUB-000316,ACC-00216,starter,annual,3588,2024-08-30,2024-09-18,2024-09-16 00:00:00.000 -0700
SUB-000317,ACC-00217,starter,annual,3588,2023-11-26,2023-12-20,2023-12-18 00:00:00.000 -0800
SUB-000318,ACC-00218,enterprise,annual,11988,2023-12-11,2023-12-29,2023-12-27 00:00:00.000 -0800
SUB-000319,ACC-00219,enterprise,monthly,999,2022-12-09,2022-12-26,2022-12-24 00:00:00.000 -0800
SUB-000320,ACC-00220,starter,annual,3588,2023-02-13,,
SUB-000321,ACC-00221,enterprise,annual,11988,2022-11-23,2024-05-24,
SUB-000322,ACC-00221,starter,monthly,299,2024-05-24,,
SUB-000323,ACC-00222,enterprise,monthly,999,2022-06-08,2022-07-03,2022-07-01 00:00:00.000 -0700
