INVOICE_ID,ACCOUNT_ID,SUBSCRIPTION_ID,AMOUNT,CURRENCY,STATUS,INVOICE_DATE,PAID_AT
INV-038499,ACC-08686,SUB-012833,299.00,EUR,pending,2023-04-04,
INV-038500,ACC-08687,SUB-012834,999.00,AUD,paid,2023-06-18,2023-06-21 15:00:00.000
INV-038501,ACC-08687,SUB-012834,999.00,AUD,paid,2023-10-28,2023-10-31 13:00:00.000
INV-038502,ACC-08687,SUB-012834,999.00,AUD,paid,2022-07-28,2022-07-29 04:00:00.000
INV-038503,ACC-08688,SUB-012835,999.00,EUR,pending,2024-01-14,
INV-038504,ACC-08688,SUB-012835,999.00,EUR,paid,2024-01-08,2024-01-09 12:00:00.000
INV-038505,ACC-08688,SUB-012835,999.00,EUR,paid,2024-01-16,2024-01-19 18:00:00.000
INV-038506,ACC-08689,SUB-012836,999.00,GBP,paid,2022-11-07,2022-11-09 17:00:00.000
INV-038507,ACC-08689,SUB-012836,999.00,GBP,paid,2023-01-04,2023-01-06 11:00:00.000
INV-038508,ACC-08689,SUB-012836,999.00,GBP,paid,2023-06-08,2023-06-11 08:00:00.000
INV-038509,ACC-08689,SUB-012837,299.00,GBP,paid,2026-04-06,2026-04-08 15:00:00.000
INV-038510,ACC-08689,SUB-012837,299.00,GBP,paid,2025-09-26,2025-09-27 03:00:00.000
INV-038511,ACC-08689,SUB-012837,299.00,GBP,paid,2025-04-08,2025-04-10 01:00:00.000
INV-038512,ACC-08690,SUB-012838,999.00,EUR,paid,2022-12-12,2022-12-15 03:00:00.000
INV-038513,ACC-08690,SUB-012838,999.00,EUR,paid,2022-11-03,2022-11-04 06:00:00.000
INV-038514,ACC-08690,SUB-012838,999.00,EUR,paid,2023-01-02,2023-01-03 19:00:00.000
INV-038515,ACC-08690,SUB-012839,299.00,EUR,paid,2023-07-28,2023-07-30 06:00:00.000
INV-038516,ACC-08690,SUB-012839,299.00,EUR,paid,2024-07-30,2024-08-02 14:00:00.000
INV-038517,ACC-08690,SUB-012839,299.00,EUR,paid,2023-08-01,2023-08-03 05:00:00.000
INV-038518,ACC-08690,SUB-012840,499.00,EUR,paid,2024-11-29,2024-11-30 05:00:00.000
INV-038519,ACC-08690,SUB-012840,499.00,EUR,paid,2024-11-24,2024-11-26 04:00:00.000
INV-038520,ACC-08690,SUB-012840,499.00,EUR,paid,2024-11-17,2024-11-18 12:00:00.000
INV-038521,ACC-08691,SUB-012841,299.00,AUD,paid,2023-12-16,2023-12-19 01:00:00.000
INV-038522,ACC-08691,SUB-012841,299.00,AUD,pending,2023-12-05,
INV-038523,ACC-08691,SUB-012841,299.00,AUD,failed,2023-12-18,
INV-038524,ACC-08692,SUB-012842,499.00,EUR,paid,2022-06-25,2022-06-26 08:00:00.000
INV-038525,ACC-08692,SUB-012842,499.00,EUR,pending,2022-05-29,
INV-038526,ACC-08692,SUB-012842,499.00,EUR,paid,2022-05-09,2022-05-10 02:00:00.000
INV-038527,ACC-08692,SUB-012843,299.00,EUR,paid,2023-06-29,2023-06-30 04:00:00.000
INV-038528,ACC-08692,SUB-012843,299.00,EUR,paid,2023-03-08,2023-03-10 07:00:00.000
INV-038529,ACC-08692,SUB-012843,299.00,EUR,pending,2023-03-03,
INV-038530,ACC-08693,SUB-012844,999.00,GBP,paid,2022-09-28,2022-10-01 03:00:00.000
INV-038531,ACC-08693,SUB-012844,999.00,GBP,paid,2024-01-04,2024-01-07 11:00:00.000
INV-038532,ACC-08693,SUB-012844,999.00,GBP,paid,2022-07-06,2022-07-09 06:00:00.000
INV-038533,ACC-08693,SUB-012845,299.00,GBP,paid,2024-06-05,2024-06-07 01:00:00.000
INV-038534,ACC-08693,SUB-012845,299.00,GBP,paid,2024-11-29,2024-12-02 11:00:00.000
INV-038535,ACC-08693,SUB-012845,299.00,GBP,paid,2024-12-11,2024-12-13 19:00:00.000
INV-038536,ACC-08693,SUB-012846,299.00,GBP,paid,2026-05-05,2026-05-08 19:00:00.000
INV-038537,ACC-08693,SUB-012846,299.00,GBP,failed,2025-12-01,
INV-038538,ACC-08693,SUB-012846,299.00,GBP,paid,2025-07-21,2025-07-24 08:00:00.000
INV-038539,ACC-08694,SUB-012847,999.00,USD,paid,2025-01-18,2025-01-19 20:00:00.000
INV-038540,ACC-08694,SUB-012847,999.00,USD,paid,2024-11-19,2024-11-21 07:00:00.000
INV-038541,ACC-08694,SUB-012847,999.00,USD,paid,2023-07-21,2023-07-23 19:00:00.000
INV-038542,ACC-08695,SUB-012848,299.00,USD,pending,2023-10-12,
INV-038543,ACC-08695,SUB-012848,299.00,USD,paid,2023-10-17,2023-10-19 09:00:00.000
INV-038544,ACC-08695,SUB-012848,299.00,USD,paid,2023-10-26,2023-10-28 02:00:00.000
INV-038545,ACC-08697,SUB-012849,999.00,EUR,paid,2022-08-30,2022-09-02 10:00:00.000
INV-038546,ACC-08697,SUB-012849,999.00,EUR,paid,2022-07-31,2022-08-03 07:00:00.000
INV-038547,ACC-08697,SUB-012849,999.00,EUR,paid,2022-07-30,2022-08-02 05:00:00.000
INV-038548,ACC-08697,SUB-012850,299.00,EUR,paid,2023-03-01,2023-03-02 11:00:00.000
INV-038549,ACC-08697,SUB-012850,299.00,EUR,paid,2022-12-20,2022-12-22 12:00:00.000
INV-038550,ACC-08697,SUB-012850,299.00,EUR,paid,2023-05-25,2023-05-26 02:00:00.000
INV-038551,ACC-08698,SUB-012851,299.00,AUD,paid,2023-06-04,2023-06-06 02:00:00.000
INV-038552,ACC-08698,SUB-012851,299.00,AUD,paid,2024-04-17,2024-04-20 12:00:00.000
INV-038553,ACC-08698,SUB-012851,299.00,AUD,paid,2023-06-06,2023-06-09 00:00:00.000
INV-038554,ACC-08698,SUB-012852,499.00,AUD,failed,2025-08-15,
INV-038555,ACC-08698,SUB-012852,499.00,AUD,paid,2025-07-15,2025-07-17 19:00:00.000
INV-038556,ACC-08698,SUB-012852,499.00,AUD,paid,2026-04-12,2026-04-15 21:00:00.000
INV-038557,ACC-08699,SUB-012853,999.00,AUD,failed,2023-01-17,
INV-038558,ACC-08699,SUB-012853,999.00,AUD,paid,2022-08-26,2022-08-27 05:00:00.000
INV-038559,ACC-08699,SUB-012853,999.00,AUD,paid,2022-11-22,2022-11-25 22:00:00.000
INV-038560,ACC-08699,SUB-012854,299.00,AUD,paid,2023-06-05,2023-06-06 12:00:00.000
INV-038561,ACC-08699,SUB-012854,299.00,AUD,failed,2023-06-06,
INV-038562,ACC-08699,SUB-012854,299.00,AUD,paid,2023-06-03,2023-06-04 09:00:00.000
INV-038563,ACC-08702,SUB-012855,299.00,USD,paid,2022-08-29,2022-09-01 06:00:00.000
INV-038564,ACC-08702,SUB-012855,299.00,USD,paid,2022-08-02,2022-08-04 23:00:00.000
INV-038565,ACC-08702,SUB-012855,299.00,USD,failed,2022-07-31,
INV-038566,ACC-08702,SUB-012856,999.00,USD,paid,2022-11-13,2022-11-15 15:00:00.000
INV-038567,ACC-08702,SUB-012856,999.00,USD,paid,2024-09-06,2024-09-08 14:00:00.000
INV-038568,ACC-08702,SUB-012856,999.00,USD,paid,2025-06-22,2025-06-24 12:00:00.000
INV-038569,ACC-08703,SUB-012857,299.00,GBP,paid,2022-07-11,2022-07-12 09:00:00.000
INV-038570,ACC-08703,SUB-012857,299.00,GBP,failed,2022-05-01,
INV-038571,ACC-08703,SUB-012857,299.00,GBP,paid,2023-03-30,2023-04-01 10:00:00.000
INV-038572,ACC-08703,SUB-012858,999.00,GBP,paid,2023-05-09,2023-05-11 01:00:00.000
INV-038573,ACC-08703,SUB-012858,999.00,GBP,failed,2023-04-22,
INV-038574,ACC-08703,SUB-012858,999.00,GBP,paid,2023-05-12,2023-05-13 04:00:00.000
INV-038575,ACC-08704,SUB-012859,299.00,AUD,paid,2023-07-03,2023-07-04 11:00:00.000
INV-038576,ACC-08704,SUB-012859,299.00,AUD,paid,2023-01-09,2023-01-12 11:00:00.000
INV-038577,ACC-08704,SUB-012859,299.00,AUD,paid,2023-04-25,2023-04-28 19:00:00.000
INV-038578,ACC-08704,SUB-012860,499.00,AUD,failed,2024-11-06,
INV-038579,ACC-08704,SUB-012860,499.00,AUD,paid,2024-12-26,2024-12-27 16:00:00.000
INV-038580,ACC-08704,SUB-012860,499.00,AUD,paid,2024-06-15,2024-06-17 12:00:00.000
INV-038581,ACC-08704,SUB-012861,999.00,AUD,paid,2025-01-18,2025-01-20 04:00:00.000
INV-038582,ACC-08704,SUB-012861,999.00,AUD,paid,2025-01-25,2025-01-27 14:00:00.000
INV-038583,ACC-08704,SUB-012861,999.00,AUD,paid,2025-01-27,2025-01-30 15:00:00.000
INV-038584,ACC-08705,SUB-012862,999.00,AUD,paid,2022-11-24,2022-11-27 22:00:00.000
INV-038585,ACC-08705,SUB-012862,999.00,AUD,paid,2022-11-22,2022-11-24 15:00:00.000
INV-038586,ACC-08705,SUB-012862,999.00,AUD,paid,2022-11-15,2022-11-16 22:00:00.000
INV-038587,ACC-08706,SUB-012863,999.00,EUR,paid,2023-03-03,2023-03-05 16:00:00.000
INV-038588,ACC-08706,SUB-012863,999.00,EUR,paid,2023-02-20,2023-02-22 00:00:00.000
INV-038589,ACC-08706,SUB-012863,999.00,EUR,paid,2023-02-24,2023-02-25 19:00:00.000
INV-038590,ACC-08707,SUB-012864,999.00,EUR,paid,2022-07-10,2022-07-13 23:00:00.000
INV-038591,ACC-08707,SUB-012864,999.00,EUR,paid,2022-07-22,2022-07-25 14:00:00.000
INV-038592,ACC-08707,SUB-012864,999.00,EUR,paid,2022-06-25,2022-06-26 18:00:00.000
INV-038593,ACC-08707,SUB-012865,499.00,EUR,pending,2022-09-28,
INV-038594,ACC-08707,SUB-012865,499.00,EUR,paid,2022-10-09,2022-10-12 06:00:00.000
INV-038595,ACC-08707,SUB-012865,499.00,EUR,paid,2022-08-29,2022-08-31 20:00:00.000
INV-038596,ACC-08707,SUB-012866,299.00,EUR,paid,2022-10-14,2022-10-17 01:00:00.000
INV-038597,ACC-08707,SUB-012866,299.00,EUR,paid,2022-10-22,2022-10-25 14:00:00.000
INV-038598,ACC-08707,SUB-012866,299.00,EUR,paid,2022-11-04,2022-11-06 11:00:00.000
INV-038599,ACC-08708,SUB-012867,299.00,EUR,paid,2025-04-05,2025-04-06 11:00:00.000
INV-038600,ACC-08708,SUB-012867,299.00,EUR,paid,2025-07-09,2025-07-10 19:00:00.000
INV-038601,ACC-08708,SUB-012867,299.00,EUR,paid,2024-12-13,2024-12-16 07:00:00.000
INV-038602,ACC-08709,SUB-012868,299.00,EUR,paid,2024-11-15,2024-11-16 03:00:00.000
INV-038603,ACC-08709,SUB-012868,299.00,EUR,paid,2024-01-31,2024-02-03 12:00:00.000
INV-038604,ACC-08709,SUB-012868,299.00,EUR,failed,2023-12-10,
INV-038605,ACC-08709,SUB-012869,499.00,EUR,paid,2026-05-25,2026-05-26 02:00:00.000
INV-038606,ACC-08709,SUB-012869,499.00,EUR,paid,2026-05-05,2026-05-08 00:00:00.000
INV-038607,ACC-08709,SUB-012869,499.00,EUR,paid,2025-12-05,2025-12-08 15:00:00.000
INV-038608,ACC-08710,SUB-012870,999.00,EUR,paid,2023-10-22,2023-10-25 11:00:00.000
INV-038609,ACC-08710,SUB-012870,999.00,EUR,paid,2022-10-01,2022-10-02 02:00:00.000
INV-038610,ACC-08710,SUB-012870,999.00,EUR,paid,2023-04-18,2023-04-20 03:00:00.000
INV-038611,ACC-08710,SUB-012871,299.00,EUR,paid,2025-07-24,2025-07-27 05:00:00.000
INV-038612,ACC-08710,SUB-012871,299.00,EUR,paid,2024-02-02,2024-02-03 13:00:00.000
INV-038613,ACC-08710,SUB-012871,299.00,EUR,paid,2024-12-27,2024-12-28 23:00:00.000
INV-038614,ACC-08711,SUB-012872,499.00,EUR,pending,2024-08-19,
INV-038615,ACC-08711,SUB-012872,499.00,EUR,paid,2025-07-10,2025-07-11 18:00:00.000
INV-038616,ACC-08711,SUB-012872,499.00,EUR,paid,2024-02-12,2024-02-13 15:00:00.000
INV-038617,ACC-08712,SUB-012873,299.00,USD,paid,2022-12-26,2022-12-28 02:00:00.000
INV-038618,ACC-08712,SUB-012873,299.00,USD,paid,2023-01-17,2023-01-20 20:00:00.000
INV-038619,ACC-08712,SUB-012873,299.00,USD,paid,2022-12-03,2022-12-04 12:00:00.000
INV-038620,ACC-08712,SUB-012874,999.00,USD,paid,2023-01-31,2023-02-01 07:00:00.000
INV-038621,ACC-08712,SUB-012874,999.00,USD,paid,2023-02-04,2023-02-07 22:00:00.000
INV-038622,ACC-08712,SUB-012874,999.00,USD,paid,2023-02-06,2023-02-08 19:00:00.000
INV-038623,ACC-08713,SUB-012875,999.00,EUR,paid,2024-08-26,2024-08-28 05:00:00.000
INV-038624,ACC-08713,SUB-012875,999.00,EUR,paid,2025-05-20,2025-05-21 05:00:00.000
INV-038625,ACC-08713,SUB-012875,999.00,EUR,failed,2023-08-07,
INV-038626,ACC-08714,SUB-012876,299.00,AUD,pending,2023-05-10,
INV-038627,ACC-08714,SUB-012876,299.00,AUD,failed,2023-11-12,
INV-038628,ACC-08714,SUB-012876,299.00,AUD,pending,2025-09-10,
INV-038629,ACC-08715,SUB-012877,299.00,EUR,paid,2022-05-17,2022-05-19 05:00:00.000
INV-038630,ACC-08715,SUB-012877,299.00,EUR,failed,2023-01-22,
INV-038631,ACC-08715,SUB-012877,299.00,EUR,paid,2022-10-11,2022-10-12 22:00:00.000
INV-038632,ACC-08715,SUB-012878,499.00,EUR,paid,2024-09-06,2024-09-08 06:00:00.000
INV-038633,ACC-08715,SUB-012878,499.00,EUR,paid,2023-09-23,2023-09-24 17:00:00.000
INV-038634,ACC-08715,SUB-012878,499.00,EUR,paid,2023-12-03,2023-12-05 16:00:00.000
INV-038635,ACC-08715,SUB-012879,299.00,EUR,failed,2025-01-22,
INV-038636,ACC-08715,SUB-012879,299.00,EUR,paid,2025-01-09,2025-01-10 20:00:00.000
INV-038637,ACC-08715,SUB-012879,299.00,EUR,paid,2025-01-12,2025-01-15 15:00:00.000
INV-038638,ACC-08716,SUB-012880,999.00,AUD,paid,2023-04-25,2023-04-27 00:00:00.000
INV-038639,ACC-08716,SUB-012880,999.00,AUD,failed,2023-08-24,
INV-038640,ACC-08716,SUB-012880,999.00,AUD,paid,2023-10-11,2023-10-14 12:00:00.000
INV-038641,ACC-08716,SUB-012881,299.00,AUD,paid,2025-07-30,2025-08-02 09:00:00.000
INV-038642,ACC-08716,SUB-012881,299.00,AUD,pending,2026-04-03,
INV-038643,ACC-08716,SUB-012881,299.00,AUD,paid,2026-04-08,2026-04-09 19:00:00.000
INV-038644,ACC-08717,SUB-012882,999.00,EUR,paid,2023-09-24,2023-09-25 13:00:00.000
INV-038645,ACC-08717,SUB-012882,999.00,EUR,paid,2024-04-25,2024-04-28 02:00:00.000
INV-038646,ACC-08717,SUB-012882,999.00,EUR,paid,2024-10-09,2024-10-13 00:00:00.000
INV-038647,ACC-08717,SUB-012883,299.00,EUR,pending,2026-05-09,
INV-038648,ACC-08717,SUB-012883,299.00,EUR,pending,2026-06-15,
INV-038649,ACC-08717,SUB-012883,299.00,EUR,paid,2025-04-13,2025-04-16 04:00:00.000
INV-038650,ACC-08718,SUB-012884,299.00,EUR,paid,2023-04-24,2023-04-25 12:00:00.000
INV-038651,ACC-08718,SUB-012884,299.00,EUR,paid,2023-04-10,2023-04-13 08:00:00.000
INV-038652,ACC-08718,SUB-012884,299.00,EUR,paid,2023-04-14,2023-04-16 13:00:00.000
INV-038653,ACC-08719,SUB-012885,999.00,EUR,paid,2022-12-09,2022-12-12 18:00:00.000
INV-038654,ACC-08719,SUB-012885,999.00,EUR,paid,2023-11-24,2023-11-25 01:00:00.000
INV-038655,ACC-08719,SUB-012885,999.00,EUR,paid,2024-01-28,2024-01-30 20:00:00.000
INV-038656,ACC-08719,SUB-012886,299.00,EUR,paid,2024-10-14,2024-10-16 08:00:00.000
INV-038657,ACC-08719,SUB-012886,299.00,EUR,paid,2024-06-10,2024-06-11 09:00:00.000
INV-038658,ACC-08719,SUB-012886,299.00,EUR,failed,2026-05-02,
INV-038659,ACC-08720,SUB-012887,999.00,USD,paid,2026-05-15,2026-05-16 05:00:00.000
INV-038660,ACC-08720,SUB-012887,999.00,USD,paid,2022-09-20,2022-09-22 22:00:00.000
INV-038661,ACC-08720,SUB-012887,999.00,USD,paid,2024-06-16,2024-06-18 05:00:00.000
INV-038662,ACC-08721,SUB-012888,299.00,AUD,paid,2023-06-07,2023-06-09 21:00:00.000
INV-038663,ACC-08721,SUB-012888,299.00,AUD,paid,2024-03-18,2024-03-21 08:00:00.000
INV-038664,ACC-08721,SUB-012888,299.00,AUD,paid,2022-05-24,2022-05-27 15:00:00.000
INV-038665,ACC-08722,SUB-012889,999.00,EUR,paid,2022-04-11,2022-04-15 00:00:00.000
INV-038666,ACC-08722,SUB-012889,999.00,EUR,paid,2022-04-19,2022-04-20 07:00:00.000
INV-038667,ACC-08722,SUB-012889,999.00,EUR,paid,2022-04-29,2022-05-02 04:00:00.000
INV-038668,ACC-08723,SUB-012890,999.00,EUR,pending,2022-09-01,
INV-038669,ACC-08723,SUB-012890,999.00,EUR,paid,2022-09-11,2022-09-12 12:00:00.000
INV-038670,ACC-08723,SUB-012890,999.00,EUR,pending,2022-10-01,
INV-038671,ACC-08723,SUB-012891,499.00,EUR,paid,2023-07-27,2023-07-28 12:00:00.000
INV-038672,ACC-08723,SUB-012891,499.00,EUR,paid,2026-03-31,2026-04-01 10:00:00.000
INV-038673,ACC-08723,SUB-012891,499.00,EUR,paid,2026-04-12,2026-04-14 22:00:00.000
INV-038674,ACC-08724,SUB-012892,999.00,AUD,paid,2023-08-10,2023-08-11 09:00:00.000
INV-038675,ACC-08724,SUB-012892,999.00,AUD,paid,2023-07-29,2023-07-31 14:00:00.000
INV-038676,ACC-08724,SUB-012892,999.00,AUD,paid,2023-08-13,2023-08-14 18:00:00.000
INV-038677,ACC-08725,SUB-012893,999.00,EUR,paid,2024-10-07,2024-10-09 18:00:00.000
INV-038678,ACC-08725,SUB-012893,999.00,EUR,paid,2024-01-30,2024-01-31 10:00:00.000
INV-038679,ACC-08725,SUB-012893,999.00,EUR,paid,2024-05-21,2024-05-22 12:00:00.000
INV-038680,ACC-08725,SUB-012894,499.00,EUR,failed,2026-04-14,
INV-038681,ACC-08725,SUB-012894,499.00,EUR,paid,2025-07-19,2025-07-21 10:00:00.000
INV-038682,ACC-08725,SUB-012894,499.00,EUR,paid,2026-05-18,2026-05-20 12:00:00.000
INV-038683,ACC-08726,SUB-012895,499.00,EUR,failed,2023-10-29,
INV-038684,ACC-08726,SUB-012895,499.00,EUR,failed,2023-10-21,
INV-038685,ACC-08726,SUB-012895,499.00,EUR,paid,2023-10-29,2023-10-30 01:00:00.000
INV-038686,ACC-08727,SUB-012896,999.00,GBP,pending,2023-10-18,
INV-038687,ACC-08727,SUB-012896,999.00,GBP,paid,2023-09-19,2023-09-21 00:00:00.000
INV-038688,ACC-08727,SUB-012896,999.00,GBP,paid,2024-04-17,2024-04-18 04:00:00.000
INV-038689,ACC-08727,SUB-012897,299.00,GBP,paid,2025-03-27,2025-03-28 05:00:00.000
INV-038690,ACC-08727,SUB-012897,299.00,GBP,paid,2025-04-04,2025-04-07 17:00:00.000
INV-038691,ACC-08727,SUB-012897,299.00,GBP,failed,2025-03-29,
INV-038692,ACC-08728,SUB-012898,499.00,EUR,paid,2024-02-08,2024-02-10 02:00:00.000
INV-038693,ACC-08728,SUB-012898,499.00,EUR,paid,2023-11-12,2023-11-15 12:00:00.000
INV-038694,ACC-08728,SUB-012898,499.00,EUR,paid,2026-03-21,2026-03-24 07:00:00.000
INV-038695,ACC-08729,SUB-012899,299.00,GBP,paid,2023-11-07,2023-11-10 01:00:00.000
INV-038696,ACC-08729,SUB-012899,299.00,GBP,paid,2023-11-07,2023-11-09 10:00:00.000
INV-038697,ACC-08729,SUB-012899,299.00,GBP,paid,2023-11-16,2023-11-19 18:00:00.000
INV-038698,ACC-08730,SUB-012900,299.00,EUR,paid,2023-04-26,2023-04-28 21:00:00.000
INV-038699,ACC-08730,SUB-012900,299.00,EUR,paid,2023-05-04,2023-05-06 22:00:00.000
INV-038700,ACC-08730,SUB-012900,299.00,EUR,paid,2023-05-08,2023-05-10 00:00:00.000
INV-038701,ACC-08731,SUB-012901,299.00,EUR,failed,2022-06-09,
INV-038702,ACC-08731,SUB-012901,299.00,EUR,paid,2022-06-29,2022-06-30 07:00:00.000
INV-038703,ACC-08731,SUB-012901,299.00,EUR,paid,2022-06-11,2022-06-14 08:00:00.000
INV-038704,ACC-08733,SUB-012902,999.00,AUD,paid,2022-09-18,2022-09-19 19:00:00.000
INV-038705,ACC-08733,SUB-012902,999.00,AUD,failed,2023-04-11,
INV-038706,ACC-08733,SUB-012902,999.00,AUD,paid,2023-03-16,2023-03-18 22:00:00.000
INV-038707,ACC-08733,SUB-012903,499.00,AUD,pending,2023-09-02,
INV-038708,ACC-08733,SUB-012903,499.00,AUD,paid,2023-09-15,2023-09-19 00:00:00.000
INV-038709,ACC-08733,SUB-012903,499.00,AUD,paid,2023-09-10,2023-09-13 10:00:00.000
INV-038710,ACC-08734,SUB-012904,999.00,AUD,paid,2022-04-15,2022-04-18 00:00:00.000
INV-038711,ACC-08734,SUB-012904,999.00,AUD,paid,2022-03-28,2022-03-29 06:00:00.000
INV-038712,ACC-08734,SUB-012904,999.00,AUD,pending,2022-03-21,
INV-038713,ACC-08734,SUB-012905,499.00,AUD,paid,2022-06-04,2022-06-07 15:00:00.000
INV-038714,ACC-08734,SUB-012905,499.00,AUD,pending,2022-05-26,
INV-038715,ACC-08734,SUB-012905,499.00,AUD,paid,2022-06-01,2022-06-04 10:00:00.000
INV-038716,ACC-08735,SUB-012906,499.00,USD,failed,2024-06-05,
INV-038717,ACC-08735,SUB-012906,499.00,USD,paid,2022-11-30,2022-12-02 02:00:00.000
INV-038718,ACC-08735,SUB-012906,499.00,USD,failed,2023-07-20,
INV-038719,ACC-08735,SUB-012907,299.00,USD,paid,2026-05-07,2026-05-09 00:00:00.000
INV-038720,ACC-08735,SUB-012907,299.00,USD,paid,2025-03-29,2025-03-30 01:00:00.000
INV-038721,ACC-08735,SUB-012907,299.00,USD,paid,2024-11-26,2024-11-28 00:00:00.000
INV-038722,ACC-08736,SUB-012908,299.00,AUD,paid,2023-03-02,2023-03-05 02:00:00.000
INV-038723,ACC-08736,SUB-012908,299.00,AUD,paid,2023-10-10,2023-10-12 05:00:00.000
INV-038724,ACC-08736,SUB-012908,299.00,AUD,failed,2023-11-08,
INV-038725,ACC-08737,SUB-012909,499.00,USD,paid,2023-11-03,2023-11-06 09:00:00.000
INV-038726,ACC-08737,SUB-012909,499.00,USD,paid,2023-11-06,2023-11-09 16:00:00.000
INV-038727,ACC-08737,SUB-012909,499.00,USD,paid,2023-11-02,2023-11-05 13:00:00.000
INV-038728,ACC-08738,SUB-012910,499.00,USD,paid,2025-02-23,2025-02-24 10:00:00.000
INV-038729,ACC-08738,SUB-012910,499.00,USD,paid,2025-02-27,2025-03-01 05:00:00.000
INV-038730,ACC-08738,SUB-012910,499.00,USD,failed,2024-08-08,
INV-038731,ACC-08738,SUB-012911,999.00,USD,paid,2026-01-06,2026-01-08 17:00:00.000
INV-038732,ACC-08738,SUB-012911,999.00,USD,paid,2026-01-21,2026-01-23 05:00:00.000
INV-038733,ACC-08738,SUB-012911,999.00,USD,paid,2025-10-12,2025-10-15 21:00:00.000
INV-038734,ACC-08739,SUB-012912,499.00,GBP,paid,2022-04-16,2022-04-17 03:00:00.000
INV-038735,ACC-08739,SUB-012912,499.00,GBP,paid,2022-08-18,2022-08-20 16:00:00.000
INV-038736,ACC-08739,SUB-012912,499.00,GBP,paid,2022-04-11,2022-04-13 11:00:00.000
INV-038737,ACC-08739,SUB-012913,999.00,GBP,paid,2024-05-04,2024-05-07 15:00:00.000
INV-038738,ACC-08739,SUB-012913,999.00,GBP,failed,2024-05-11,
INV-038739,ACC-08739,SUB-012913,999.00,GBP,paid,2024-02-29,2024-03-01 15:00:00.000
INV-038740,ACC-08739,SUB-012914,499.00,GBP,paid,2024-06-02,2024-06-03 08:00:00.000
INV-038741,ACC-08739,SUB-012914,499.00,GBP,failed,2024-05-20,
INV-038742,ACC-08739,SUB-012914,499.00,GBP,pending,2024-05-26,
INV-038743,ACC-08740,SUB-012915,999.00,USD,paid,2024-02-14,2024-02-15 05:00:00.000
INV-038744,ACC-08740,SUB-012915,999.00,USD,paid,2023-02-28,2023-03-02 02:00:00.000
INV-038745,ACC-08740,SUB-012915,999.00,USD,pending,2023-10-18,
INV-038746,ACC-08740,SUB-012916,299.00,USD,paid,2024-04-20,2024-04-21 21:00:00.000
INV-038747,ACC-08740,SUB-012916,299.00,USD,failed,2024-04-24,
INV-038748,ACC-08740,SUB-012916,299.00,USD,paid,2024-04-29,2024-04-30 16:00:00.000
INV-038749,ACC-08741,SUB-012917,999.00,GBP,paid,2023-11-21,2023-11-23 21:00:00.000
INV-038750,ACC-08741,SUB-012917,999.00,GBP,paid,2024-02-20,2024-02-21 09:00:00.000
INV-038751,ACC-08741,SUB-012917,999.00,GBP,pending,2023-01-31,
INV-038752,ACC-08741,SUB-012918,299.00,GBP,paid,2025-05-16,2025-05-19 22:00:00.000
